time,input
110.06283855438232,4034.0
110.14176511764526,4045.0
110.22153210639954,4059.0
110.30183482170104,4044.0
110.38214325904846,4043.0
110.46286296844482,4044.0
110.54248309135436,4043.0
110.62172484397888,4030.0
110.70137333869934,4095.0
110.7816333770752,3983.0
110.86228370666504,4048.0
110.94286918640135,4047.0
111.02273106575012,4071.0
111.10176658630373,4039.0
111.18211913108826,4038.0
111.26183485984802,4047.0
111.34278535842896,4045.0
111.4222447872162,4037.0
111.52776551246644,4047.0
111.60689091682434,4039.0
111.68768095970154,3770.0
111.7667646408081,4027.0
111.84751963615416,4043.0
111.92754936218262,4055.0
112.00699591636658,4047.0
112.08776950836182,4039.0
112.1667778491974,4007.0
112.24763011932372,3995.0
112.32687902450562,4019.0
112.4068706035614,4073.0
112.4872272014618,4018.0
112.56771898269652,4027.0
112.64678692817688,3952.0
112.72658395767212,4017.0
112.80707287788393,4033.0
112.8876440525055,4031.0
112.96676564216614,4031.0
113.04633831977844,4031.0
113.12716245651244,4035.0
113.20686340332033,4023.0
113.28784132003784,4013.0
113.36681723594666,4039.0
113.44674491882324,4030.0
113.55110096931458,4035.0
113.63137984275818,4035.0
113.71136283874512,4032.0
113.79186248779295,3987.0
113.87130784988403,4023.0
113.95143556594849,4021.0
114.03172135353088,4015.0
114.11145401000977,4016.0
114.19194436073305,4023.0
114.2727918624878,4015.0
114.35227990150452,4015.0
114.43167209625244,4095.0
114.51278162002563,4016.0
114.59292888641356,4015.0
114.67179369926453,3986.0
114.75189185142516,3995.0
114.8327009677887,4011.0
114.91186141967772,4003.0
114.99232697486876,4007.0
115.07276391983032,4007.0
115.15193629264832,4015.0
115.23234033584596,4014.0
115.3120596408844,4006.0
115.3926055431366,4003.0
115.47284698486328,4011.0
115.57782006263731,4011.0
115.65686774253844,4006.0
115.73679327964784,4006.0
115.8176703453064,3998.0
115.89626407623292,4003.0
115.97654581069946,4007.0
116.05585384368896,3963.0
116.1361939907074,4004.0
116.21591210365295,4008.0
116.29587745666504,4003.0
116.37762331962584,3760.0
116.45688199996948,4005.0
116.5377414226532,4009.0
116.61661529541016,4007.0
116.69743013381958,4006.0
116.77682852745056,4005.0
116.85770988464355,4007.0
116.93649125099182,4014.0
117.01684427261353,4048.0
117.09756851196288,4006.0
117.1768729686737,4013.0
117.25765180587769,4000.0
117.33786511421204,4033.0
117.41779685020448,3994.0
117.4967873096466,4001.0
117.6027090549469,4050.0
117.6818301677704,4020.0
117.76143646240234,4006.0
117.8418493270874,4032.0
117.92228388786316,4009.0
118.00170397758484,4029.0
118.08187770843506,3997.0
118.16298270225523,3995.0
118.24184656143188,4003.0
118.32277941703796,4003.0
118.4028844833374,4000.0
118.48240208625792,4015.0
118.5618622303009,4007.0
118.64243412017822,4003.0
118.72178602218628,4001.0
118.8027777671814,3999.0
118.88156270980836,3999.0
118.96278238296507,4007.0
119.04188394546507,4009.0
119.1218433380127,3999.0
119.20239424705504,3999.0
119.28147459030151,4095.0
119.36180114746094,4007.0
119.44238877296448,4011.0
119.5228307247162,4016.0
119.62782073020936,3999.0
119.70704388618468,3995.0
119.78790545463562,4018.0
119.86686778068542,4007.0
119.94638061523438,4023.0
120.0269124507904,4005.0
120.10687232017516,3995.0
120.1878626346588,3998.0
120.26783156394958,3998.0
120.34797930717468,3999.0
120.426766872406,4000.0
120.50729656219482,3994.0
120.58792090415956,4002.0
120.66679239273073,4007.0
120.74786281585692,3999.0
120.827894449234,4010.0
120.90687108039856,3997.0
120.98773670196532,3995.0
121.0668330192566,3988.0
121.14787912368774,3985.0
121.22681856155396,4030.0
121.3069007396698,3998.0
121.38689160346983,3997.0
121.4667582511902,3984.0
121.54739260673524,3990.0
121.64758801460266,3986.0
121.73174095153809,3991.0
121.81188702583312,3998.0
121.89282536506651,3997.0
121.97163486480711,4006.0
122.05187129974364,3996.0
122.13174104690552,3999.0
122.21264505386353,4011.0
122.2918417453766,4000.0
122.37188625335692,4001.0
122.45186185836792,3943.0
122.53153133392334,4003.0
122.61173129081726,3835.0
122.6918568611145,4001.0
122.77279615402222,3998.0
122.85292172431946,4018.0
122.93134331703186,3937.0
123.01187491416933,4018.0
123.09279441833496,4006.0
123.171772480011,4063.0
123.25270533561708,3791.0
123.33182978630066,3997.0
123.41231775283812,3967.0
123.4918887615204,3998.0
123.57275342941284,4095.0
123.67773175239564,4005.0
123.75744438171388,3999.0
123.83673787117004,3999.0
123.9177827835083,4004.0
123.99767017364502,4001.0
124.07785058021544,4003.0
124.1569344997406,4009.0
124.2368803024292,4007.0
124.31765294075012,4007.0
124.39773964881896,3991.0
124.47682738304138,4063.0
124.55681204795836,3999.0
124.63683414459229,3982.0
124.71684193611144,4000.0
124.79699969291688,4015.0
124.87685561180116,4016.0
124.95682048797607,4013.0
125.03691959381104,4015.0
125.11677575111388,4011.0
125.19790291786194,4013.0
125.27697730064392,3998.0
125.35771584510805,4013.0
125.4376904964447,4095.0
125.51677417755128,4052.0
125.59673309326172,4013.0
125.6984555721283,4014.0
125.78154039382936,3755.0
125.86182904243468,4017.0
125.9427661895752,4016.0
126.021497964859,4013.0
126.10168027877808,4015.0
126.1823797225952,4022.0
126.26290655136108,4017.0
126.34178709983826,4025.0
126.42184376716614,4031.0
126.50196242332458,4031.0
126.5815727710724,4027.0
126.66283583641052,4021.0
126.74186301231384,4023.0
126.82234239578248,4020.0
126.90268898010254,3917.0
126.98184943199158,4027.0
127.06296300888062,4018.0
127.14189791679382,4025.0
127.22290349006651,4047.0
127.30196046829224,4027.0
127.3825855255127,4029.0
127.4618525505066,4043.0
127.54245185852052,4032.0
127.62189555168152,4017.0
127.7273211479187,4027.0
127.80689573287964,4039.0
127.88751816749571,3807.0
127.96637392044067,4023.0
128.0475389957428,4031.0
128.12696194648743,4023.0
128.20779609680176,4017.0
128.28683590888977,3941.0
128.3669171333313,4003.0
128.44776129722595,4027.0
128.52685141563416,4037.0
128.60684990882874,4017.0
128.6869649887085,4029.0
128.766663312912,4033.0
128.84670162200928,4017.0
128.92782068252563,4001.0
129.00780200958252,3911.0
129.08775734901428,4015.0
129.16679453849792,4016.0
129.24658846855164,4016.0
129.32667589187622,4035.0
129.40666604042053,4016.0
129.4877862930298,4021.0
129.5678513050079,4007.0
129.64688873291016,4007.0
129.75263667106628,4021.0
129.83232641220093,4023.0
129.91187405586243,4016.0
129.99177837371826,4017.0
130.07277822494507,4016.0
130.15189504623413,4021.0
130.23159646987915,4015.0
130.3129003047943,4017.0
130.39140558242798,4005.0
130.4727292060852,4027.0
130.55269241333008,4019.0
130.6311445236206,4018.0
130.7129032611847,4048.0
130.79289078712463,4023.0
130.87289118766785,3987.0
130.951828956604,4016.0
131.03208136558533,4016.0
131.11256313323975,3431.0
131.1918716430664,4029.0
131.2729778289795,4009.0
131.35281324386597,3987.0
131.43136715888977,3813.0
131.51293659210205,4013.0
131.59296941757202,4019.0
131.6731026172638,4016.0
131.77794933319092,4018.0
131.85760164260864,4012.0
131.93683242797852,4016.0
132.0174674987793,4022.0
132.0968222618103,4026.0
132.17757058143616,4025.0
132.25688672065735,4022.0
132.3378393650055,4007.0
132.4178855419159,4015.0
132.49675464630127,4017.0
132.57754707336426,4010.0
132.6579396724701,4003.0
132.7368357181549,4010.0
132.81759524345398,4011.0
132.8979938030243,4007.0
132.97703433036804,4014.0
133.05674695968628,3994.0
133.1376497745514,4018.0
133.21650314331055,4006.0
133.29776859283447,4007.0
133.3771550655365,4003.0
133.4564392566681,4012.0
133.53686690330505,4016.0
133.6177396774292,4015.0
133.69698309898376,4001.0
133.8018651008606,4002.0
133.88275265693665,4015.0
133.9617302417755,4016.0
134.0419363975525,4005.0
134.12291955947876,4091.0
134.20286750793457,4007.0
134.2813229560852,4095.0
134.36276769638062,4019.0
134.44197869300842,4007.0
134.52201056480408,4023.0
134.60274124145508,4011.0
134.68097114562988,4016.0
134.76168537139893,4017.0
134.84201574325562,4086.0
134.92290687561035,4011.0
135.00183010101318,4011.0
135.08207058906555,3855.0
135.16193151474,4013.0
135.2419683933258,4011.0
135.3217887878418,4095.0
135.40187668800354,4014.0
135.48172569274902,4020.0
135.56198501586914,4014.0
135.64280605316162,3915.0
135.72288584709167,4018.0
135.82685899734497,4009.0
135.90794038772583,4007.0
135.98778700828552,4009.0
136.06713938713074,3999.0
136.14796113967896,4003.0
136.22799634933472,4016.0
136.30688214302063,4011.0
136.38691806793213,4010.0
136.46688628196716,4011.0
136.54685306549072,4013.0
136.62792444229126,4011.0
136.70766258239746,4015.0
136.7876493930817,4007.0
136.86716389656067,4016.0
136.94767117500305,4015.0
137.0269215106964,4015.0
137.10692834854126,4013.0
137.18744921684265,4046.0
137.2678301334381,4016.0
137.34693455696106,4011.0
137.42782497406006,4016.0
137.50758337974548,4019.0
137.58687210083008,4023.0
137.66490364074707,4015.0
137.7469551563263,4007.0
137.8491973876953,4011.0
137.93171286582947,4015.0
138.0127477645874,4030.0
138.09189581871033,4028.0
138.17289972305298,4021.0
138.25187182426453,4017.0
138.3327386379242,4018.0
138.4116485118866,4017.0
138.49198150634766,4013.0
138.57188057899475,4011.0
138.65190291404724,4018.0
138.73287081718445,4026.0
138.81286931037903,4019.0
138.89188933372498,4017.0
138.97240734100342,4029.0
139.0530412197113,4047.0
139.1313533782959,4005.0
139.21197533607483,4033.0
139.29294419288635,4023.0
139.37176537513733,4043.0
139.45191478729248,4048.0
139.53191924095154,4035.0
139.61188673973083,4016.0
139.69279074668884,4019.0
139.77265548706055,4017.0
139.87775468826294,4022.0
139.95692110061646,4095.0
140.03796410560608,4031.0
140.1168496608734,4022.0
140.19742727279663,4016.0
140.27681732177734,4018.0
140.35788083076477,4031.0
140.43689489364624,4027.0
140.5168068408966,4022.0
140.5978353023529,4019.0
140.6769826412201,3633.0
140.75765228271484,4025.0
140.8376648426056,4095.0
140.91686487197876,4030.0
140.99779176712036,4095.0
141.07749366760254,4019.0
141.15702080726624,4035.0
141.23655915260315,4023.0
141.3178324699402,4017.0
141.3968710899353,4062.0
141.47796511650083,4031.0
141.5569441318512,4023.0
141.63715624809265,4021.0
141.71775650978088,3930.0
141.79685044288635,4023.0
141.9027533531189,4026.0
141.9816973209381,4027.0
142.06293177604675,4027.0
142.14198207855225,4031.0
142.2219603061676,4029.0
142.30287718772888,4027.0
142.38252425193787,4019.0
142.4619517326355,4011.0
142.54285430908203,4028.0
142.62155175209045,4031.0
142.70277643203735,4027.0
142.78188371658325,4031.0
142.8613052368164,4023.0
142.94270586967468,4033.0
143.02190113067627,4022.0
143.10283398628235,4022.0
143.18137645721436,4027.0
143.26205945014954,4021.0
143.3418538570404,4021.0
143.4218668937683,4023.0
143.50288128852844,4027.0
143.58138346672058,4033.0
143.6620736122131,4029.0
143.74205136299133,4032.0
143.8210804462433,4023.0
143.9266221523285,3999.0
144.0076117515564,4048.0
144.08781456947327,4035.0
144.16730046272278,4014.0
144.2469048500061,4027.0
144.32788610458374,4031.0
144.40701460838318,4027.0
144.48772597312927,4095.0
144.5668647289276,4027.0
144.6478796005249,4019.0
144.7270705699921,4011.0
144.80779147148132,4035.0
144.88686728477478,3987.0
144.96785163879397,4030.0
145.04799795150757,4029.0
145.1263394355774,4035.0
145.20731592178345,4032.0
145.28692364692688,4031.0
145.36781644821167,4095.0
145.44802021980286,4039.0
145.52692985534668,4025.0
145.6066858768463,4019.0
145.68683910369873,4048.0
145.76780009269714,4029.0
145.84687685966492,4027.0
145.94884252548218,4083.0
146.03171300888062,4030.0
146.11185002326965,4034.0
146.19284868240356,4042.0
146.27170133590698,4031.0
146.35186767578125,4032.0
146.43143606185913,4033.0
146.5128207206726,4023.0
146.59302234649658,4031.0
146.67186450958252,4029.0
146.7519464492798,4025.0
146.83141112327576,4031.0
146.9129674434662,4038.0
146.992418050766,4033.0
147.07311606407166,4039.0
147.1517152786255,3817.0
147.2328064441681,4047.0
147.3128342628479,4039.0
147.3926911354065,4037.0
147.47200274467468,4047.0
147.55276894569397,4048.0
147.63189101219177,4047.0
147.711407661438,4039.0
147.79168438911438,4048.0
147.87196612358093,4046.0
147.97630786895752,4050.0
148.05757021903992,4051.0
148.1378927230835,3951.0
148.21698546409607,4050.0
148.29791259765625,4055.0
148.37792038917542,4047.0
148.4580044746399,4047.0
148.53704357147217,4063.0
148.6179962158203,4051.0
148.69769167900083,4057.0
148.77748322486875,4055.0
148.8567249774933,4054.0
148.93700289726257,4061.0
149.017920255661,4067.0
149.09743475914,4065.0
149.17780566215515,4063.0
149.2569453716278,4055.0
149.33801794052124,4085.0
149.4169933795929,4095.0
149.49772596359253,4095.0
149.5779721736908,4095.0
149.65702748298645,3839.0
149.73781895637512,4095.0
149.81692910194397,4093.0
149.89695644378662,4095.0
149.99841022491455,4085.0
150.08193922042847,4069.0
150.16278195381165,4050.0
150.24191403388977,4055.0
150.3228042125702,4063.0
150.40213465690613,4061.0
150.48139715194702,4055.0
150.56288313865662,4058.0
150.64193487167358,4054.0
150.7219545841217,4051.0
150.80243468284607,4047.0
150.88172268867493,4044.0
150.9625861644745,4059.0
151.04142808914185,4045.0
151.12292742729187,4041.0
151.2027988433838,4042.0
151.28160500526428,4058.0
151.36299085617063,4048.0
151.44203972816467,4053.0
151.52304100990295,4057.0
151.60299062728882,4061.0
151.6826105117798,4055.0
151.7629280090332,4057.0
151.84190201759338,3943.0
151.9228401184082,4051.0
152.02681589126587,4095.0
152.10700702667236,4049.0
152.1879861354828,4063.0
152.26790833473206,4063.0
152.3470311164856,4066.0
152.4268102645874,4071.0
152.50699758529663,4058.0
152.58660745620728,4071.0
152.6679048538208,4051.0
152.7470419406891,4048.0
152.82741928100586,4039.0
152.9070644378662,4095.0
152.98705005645752,4047.0
153.06703519821167,4043.0
153.14708137512207,4043.0
153.2269253730774,4043.0
153.30790042877197,4037.0
153.38675999641418,4049.0
153.46699571609497,3999.0
153.54695010185242,4020.0
153.6271505355835,4017.0
153.7071340084076,4018.0
153.7864077091217,4010.0
153.86701250076294,4014.0
153.946928024292,4013.0
154.0528404712677,4012.0
154.13289284706116,4006.0
154.2119619846344,4003.0
154.29291915893555,3995.0
154.37202858924866,4007.0
154.45203590393066,4009.0
154.53141021728516,3995.0
154.61092686653137,3994.0
154.69250965118408,3965.0
154.77188920974731,3969.0
154.8519151210785,3969.0
154.9320411682129,3954.0
155.01199913024902,3952.0
155.0929629802704,3952.0
155.17269158363342,3959.0
155.25286102294922,3943.0
155.3314244747162,3943.0
155.41179037094116,3948.0
155.49248909950256,3919.0
155.57207131385803,3767.0
155.65302681922913,3888.0
155.73267817497253,3870.0
155.81302165985107,3856.0
155.891765832901,3838.0
155.97185850143433,3824.0
156.07739734649658,3823.0
156.15800762176514,3797.0
156.23699927330017,3792.0
156.31684231758118,3790.0
156.39643931388855,3675.0
156.47794818878174,3754.0
156.5570306777954,3962.0
156.63790011405945,3760.0
156.71807551383972,3751.0
156.79783606529236,3759.0
156.87721872329712,3743.0
156.95704436302185,3742.0
157.0377767086029,3738.0
157.1167118549347,3747.0
157.198011636734,3598.0
157.27706956863403,3728.0
157.356951713562,3733.0
157.43693900108337,3728.0
157.5172724723816,3724.0
157.5970470905304,3725.0
157.67689156532288,3727.0
157.75700163841248,3648.0
157.83701276779175,3728.0
157.91702842712402,3728.0
157.99686288833618,3728.0
158.10209035873413,3729.0
158.18161153793335,3729.0
158.26108694076538,3733.0
158.34181261062622,3731.0
158.42205262184143,3731.0
158.49851036071777,3723.0
158.58169984817505,3728.0
158.66281175613403,3729.0
158.74194765090942,3781.0
158.822012424469,3698.0
158.90200972557068,3722.0
158.9827151298523,3725.0
159.06120991706848,3725.0
159.14200949668884,3552.0
159.22254300117493,3731.0
159.30304479599,3728.0
159.38189601898193,3727.0
159.46176433563232,3739.0
159.54292106628418,3798.0
159.62305903434753,3730.0
159.70213294029236,3725.0
159.7822666168213,3732.0
159.8620247840881,3722.0
159.94303560256958,3717.0
160.02157545089722,3717.0
160.1261689662933,3728.0
160.2070300579071,3714.0
160.28692984580994,3630.0
160.36779856681824,3736.0
160.4479706287384,3732.0
160.52803492546082,3413.0
160.60703015327454,3653.0
160.68699765205383,3733.0
160.76688265800476,3728.0
160.84640169143677,3751.0
160.9272394180298,3723.0
161.00652503967285,3697.0
161.08672213554382,3792.0
161.1669704914093,3728.0
161.24758100509644,3728.0
161.32711505889893,3728.0
161.40696382522583,3728.0
161.48695516586304,3691.0
161.56772255897522,3727.0
161.64701318740845,3727.0
161.72711324691772,3728.0
161.80693292617798,3728.0
161.8869607448578,3718.0
161.96785235404968,3731.0
162.046968460083,3733.0
162.15173959732056,3729.0
162.2322404384613,3729.0
162.3131034374237,3947.0
162.39194536209106,3727.0
162.47294521331787,3728.0
162.5530388355255,3728.0
162.6315734386444,3743.0
162.7114455699921,3729.0
162.7919728755951,3735.0
162.8730330467224,3898.0
162.9529845714569,3729.0
163.03186798095703,3735.0
163.11108684539795,3730.0
163.19186210632324,3703.0
163.27194166183472,3737.0
163.3519971370697,3729.0
163.43279218673706,3731.0
163.51202487945557,3574.0
163.59291172027588,3734.0
163.67150449752808,3728.0
163.75196027755737,3731.0
163.83217787742615,3728.0
163.91202187538147,3733.0
163.9930775165558,3748.0
164.07207942008972,3734.0
164.17682766914368,3732.0
164.25705766677856,3734.0
164.33683037757874,3733.0
164.41789627075195,3744.0
164.49816417694092,3731.0
164.577125787735,3731.0
164.6570839881897,3734.0
164.7367353439331,3730.0
164.81781697273254,3731.0
164.8971810340881,3739.0
164.9770152568817,3740.0
165.05667805671692,3732.0
165.13691353797913,4035.0
165.21699714660645,3740.0
165.29689073562622,3744.0
165.37746906280518,3745.0
165.4570140838623,3824.0
165.53795099258423,3739.0
165.6177475452423,3745.0
165.69686126708984,3742.0
165.77785062789917,3748.0
165.85710191726685,3735.0
165.93796062469482,3737.0
166.01799249649048,3723.0
166.0979015827179,3753.0
166.19807124137878,3746.0
166.28242135047913,3731.0
166.36203694343567,3739.0
166.44302463531494,3719.0
166.52206707000732,3746.0
166.60300278663635,3747.0
166.6815369129181,3757.0
166.76203513145447,3745.0
166.84201860427856,3746.0
166.92209720611572,3746.0
167.0019829273224,3745.0
167.0829427242279,3744.0
167.163090467453,3751.0
167.2316665649414,3743.0
167.32196617126465,3775.0
167.40129041671753,3743.0
167.48252296447754,3751.0
167.56104397773743,3749.0
167.64191389083862,3751.0
167.72293710708618,3731.0
167.80167412757874,3751.0
167.88172888755798,3749.0
167.96192932128906,3759.0
168.04213047027588,3785.0
168.12288093566897,3755.0
168.2258858680725,3759.0
168.30781888961792,3753.0
168.3884961605072,3760.0
168.4665026664734,3757.0
168.54793190956116,3760.0
168.62700986862183,3761.0
168.70804953575134,3758.0
168.78661561012268,3764.0
168.86788153648376,3755.0
168.94698071479797,3743.0
169.0269694328308,3760.0
169.10615491867063,3760.0
169.18664646148682,3765.0
169.26708030700684,3799.0
169.3468565940857,3763.0
169.4269905090332,3763.0
169.50793886184692,3760.0
169.5873668193817,3763.0
169.6669044494629,3763.0
169.74706268310547,3766.0
169.8269476890564,3765.0
169.9079349040985,3760.0
169.98734283447266,3773.0
170.06789445877075,3772.0
170.14777398109436,3767.0
170.24742555618286,3776.0
170.33140063285828,3769.0
170.41292309761047,3766.0
170.4930064678192,3774.0
170.5722677707672,3773.0
170.65195488929749,3766.0
170.732750415802,3777.0
170.81181645393372,3776.0
170.89127731323242,3790.0
170.9720058441162,3767.0
171.05313730239868,3616.0
171.1325330734253,3776.0
171.2130000591278,3767.0
171.2922818660736,3775.0
171.37203359603882,3771.0
171.4518756866455,3760.0
171.53286957740784,3760.0
171.61295700073242,3787.0
171.6920907497406,3766.0
171.7729938030243,3794.0
171.85201787948608,3689.0
171.93133187294006,3777.0
172.01314973831177,3783.0
172.09162282943726,4017.0
172.17199969291687,3786.0
172.27784276008606,4027.0
172.3570077419281,3779.0
172.43746376037598,3779.0
172.5169861316681,3792.0
172.59622287750244,3842.0
172.67600870132446,3787.0
172.7576220035553,3789.0
172.83685159683228,3929.0
172.9169683456421,3792.0
172.9974012374878,3786.0
173.0770184993744,3793.0
173.15652227401733,3785.0
173.23709106445312,3794.0
173.31705832481384,3793.0
173.39702153205872,3792.0
173.4784710407257,3793.0
173.55717754364014,3794.0
173.6371648311615,3791.0
173.7179732322693,3792.0
173.79819917678833,3798.0
173.87673830986023,3795.0
173.9570062160492,3792.0
174.0377871990204,3793.0
174.11699891090393,3795.0
174.19706869125366,3595.0
174.30254864692688,3802.0
174.38159489631653,3797.0
174.46225428581238,3801.0
174.5428502559662,3798.0
174.6230959892273,3795.0
174.70315074920654,3810.0
174.7814450263977,3802.0
174.86214566230774,3792.0
174.94287872314453,3806.0
175.02302193641663,3813.0
175.1031517982483,3803.0
175.18202781677246,3806.0
175.26207184791565,3811.0
175.3421449661255,3805.0
175.42172980308533,3803.0
175.5025396347046,3805.0
175.5829563140869,3810.0
175.66162204742432,3817.0
175.74287939071655,3777.0
175.8215515613556,3806.0
175.90299439430237,3803.0
175.98152995109558,3823.0
176.06292986869812,3808.0
176.14224934577942,3807.0
176.2227339744568,3813.0
176.32725381851196,3791.0
176.4070131778717,3808.0
176.48738884925842,3959.0
176.5680410861969,3787.0
176.6478190422058,3814.0
176.7280731201172,3819.0
176.80783486366272,3862.0
176.88708639144895,3823.0
176.9670844078064,3817.0
177.04695868492126,3817.0
177.12818598747253,3819.0
177.20672726631165,3793.0
177.2870011329651,3803.0
177.36703395843506,3813.0
177.44698548316956,3818.0
177.52692914009094,3813.0
177.60815572738647,3819.0
177.68752884864807,3810.0
177.7679557800293,3817.0
177.84741806983948,3824.0
177.9280664920807,3822.0
178.0067024230957,3823.0
178.08795070648193,4073.0
178.16716241836548,3824.0
178.24689078330994,3821.0
178.3482484817505,3823.0
178.432434797287,3822.0
178.51228189468384,3827.0
178.59197092056274,3838.0
178.6720917224884,3855.0
178.75301265716553,3822.0
178.83243441581726,3824.0
178.91283702850342,3825.0
178.9924602508545,3825.0
179.07200479507446,3827.0
179.15299892425537,3829.0
179.23241257667542,3809.0
179.31264328956604,3831.0
179.3920783996582,3831.0
179.47167253494263,4095.0
179.55199003219604,3829.0
